Model,Epoch,Accuracy,Val_Accuracy
Model_1,1,0.6208147406578064,0.6669921875
Model_1,2,0.6760602593421936,0.6572265625
Model_1,3,0.6902901530265808,0.626953125
Model_1,4,0.69140625,0.6796875
Model_1,5,0.703125,0.7021484375
Model_1,6,0.7028459906578064,0.68359375
Model_1,7,0.7095423936843872,0.7021484375
Model_1,8,0.7154017686843872,0.7021484375
Model_1,9,0.7209821343421936,0.712890625
Model_1,10,0.7229352593421936,0.693359375
Model_1,11,0.7329798936843872,0.716796875
Model_1,12,0.728515625,0.724609375
Model_1,13,0.7276785969734192,0.7197265625
Model_1,14,0.7380022406578064,0.720703125
Model_1,15,0.7346540093421936,0.7060546875
Model_1,16,0.7488839030265808,0.7412109375
Model_1,17,0.7511160969734192,0.7236328125
Model_1,18,0.7625557780265808,0.7353515625
Model_1,19,0.7589285969734192,0.72265625
Model_1,20,0.765625,0.720703125
Model_1,21,0.7728794813156128,0.73046875
Model_1,22,0.779296875,0.744140625
Model_1,23,0.7885044813156128,0.7412109375
Model_1,24,0.7901785969734192,0.7294921875
Model_1,25,0.8030133843421936,0.74609375
Model_1,26,0.8038504719734192,0.7451171875
Model_1,27,0.8102678656578064,0.765625
Model_1,28,0.8127790093421936,0.7490234375
Model_1,29,0.8247767686843872,0.7529296875
Model_1,30,0.822265625,0.7265625
Model_1,31,0.8295201063156128,0.7568359375
Model_2,1,0.6442522406578064,0.6748046875
Model_2,2,0.6858258843421936,0.6767578125
Model_2,3,0.705078125,0.68359375
Model_2,4,0.7114955186843872,0.6865234375
Model_2,5,0.7173548936843872,0.6884765625
Model_2,6,0.7223772406578064,0.703125
Model_2,7,0.7313057780265808,0.71875
Model_2,8,0.7349330186843872,0.705078125
Model_2,9,0.7433035969734192,0.7158203125
Model_2,10,0.7463727593421936,0.7216796875
Model_2,11,0.75390625,0.7265625
Model_2,12,0.7550223469734192,0.7138671875
Model_2,13,0.7580915093421936,0.7138671875
Model_2,14,0.7686942219734192,0.734375
Model_2,15,0.7692522406578064,0.7236328125
Model_2,16,0.7703682780265808,0.732421875
Model_2,17,0.7848772406578064,0.734375
Model_2,18,0.7854352593421936,0.7548828125
Model_2,19,0.7924107313156128,0.7470703125
Model_2,20,0.79296875,0.7353515625
Model_2,21,0.7965959906578064,0.75390625
Model_2,22,0.8041294813156128,0.765625
Model_2,23,0.80078125,0.7763671875
Model_2,24,0.7720423936843872,0.7451171875
Model_2,25,0.7977120280265808,0.75390625
Model_2,26,0.8013392686843872,0.7646484375
Model_2,27,0.8071986436843872,0.7587890625
Model_2,28,0.8161272406578064,0.75390625
Model_2,29,0.8138951063156128,0.7734375
Model_2,30,0.8138951063156128,0.7607421875
Model_2,31,0.8197544813156128,0.7802734375
Model_2,32,0.8306361436843872,0.7666015625
Model_2,33,0.8231026530265808,0.7626953125
Model_3,1,0.57421875,0.671875
Model_3,2,0.6629464030265808,0.6337890625
Model_3,3,0.6847098469734192,0.677734375
Model_3,4,0.6813616156578064,0.6904296875
Model_3,5,0.69921875,0.6689453125
Model_3,6,0.7078682780265808,0.6904296875
Model_3,7,0.7117745280265808,0.6708984375
Model_3,8,0.7123326063156128,0.64453125
Model_3,9,0.6911272406578064,0.6953125
Model_3,10,0.7201451063156128,0.7177734375
Model_3,11,0.7296317219734192,0.7021484375
Model_3,12,0.7335379719734192,0.7109375
Model_3,13,0.7318638563156128,0.720703125
Model_3,14,0.7527901530265808,0.7353515625
Model_3,15,0.7483258843421936,0.72265625
Model_3,16,0.7589285969734192,0.7236328125
Model_3,17,0.759765625,0.701171875
Model_3,18,0.7700892686843872,0.7509765625
Model_3,19,0.7829241156578064,0.7490234375
Model_3,20,0.7759486436843872,0.7265625
Model_3,21,0.7963169813156128,0.7421875
Model_3,22,0.7957589030265808,0.7421875
Model_3,23,0.7893415093421936,0.7421875
Model_3,24,0.798828125,0.75
Model_3,25,0.80078125,0.7587890625
Model_3,26,0.8127790093421936,0.7646484375
Model_3,27,0.8217076063156128,0.7626953125
Model_3,28,0.8205915093421936,0.7666015625
Model_3,29,0.8225446343421936,0.763671875
Model_3,30,0.8303571343421936,0.7685546875
Model_3,31,0.830078125,0.759765625
Model_3,32,0.8415178656578064,0.7666015625
Model_3,33,0.8376116156578064,0.7783203125
Model_3,34,0.8643973469734192,0.779296875
Model_3,35,0.8660714030265808,0.7734375
Model_4,1,0.5979352593421936,0.646484375
Model_4,2,0.6735491156578064,0.662109375
Model_4,3,0.6821986436843872,0.65234375
Model_4,4,0.6939173936843872,0.671875
Model_4,5,0.703125,0.6884765625
Model_4,6,0.7114955186843872,0.7021484375
Model_4,7,0.7075892686843872,0.6904296875
Model_4,8,0.7290736436843872,0.7041015625
Model_4,9,0.7279576063156128,0.712890625
Model_4,10,0.7424665093421936,0.73046875
Model_4,11,0.75,0.7138671875
Model_4,12,0.7619977593421936,0.7138671875
Model_4,13,0.7580915093421936,0.724609375
Model_4,14,0.7611607313156128,0.7236328125
Model_4,15,0.7720423936843872,0.7294921875
Model_4,16,0.7781807780265808,0.75
Model_4,17,0.7837611436843872,0.7412109375
Model_4,18,0.794921875,0.7607421875
Model_4,19,0.8010602593421936,0.75
Model_4,20,0.8058035969734192,0.78125
Model_4,21,0.8178013563156128,0.7734375
Model_4,22,0.8130580186843872,0.7587890625
Model_4,23,0.8345423936843872,0.748046875
Model_4,24,0.8314732313156128,0.7939453125
Model_4,25,0.8454241156578064,0.791015625
Model_4,26,0.8426339030265808,0.7861328125
Model_4,27,0.8440290093421936,0.7783203125
Model_4,28,0.8596540093421936,0.7734375
Model_4,29,0.8666294813156128,0.7880859375
Model_4,30,0.8669084906578064,0.7685546875
Model_4,31,0.8599330186843872,0.7822265625
Model_4,32,0.87109375,0.787109375
Model_4,33,0.8805803656578064,0.7900390625
Model_4,34,0.8920201063156128,0.806640625
Model_4,35,0.9029017686843872,0.81640625
Model_4,36,0.9146205186843872,0.802734375
Model_4,37,0.9165736436843872,0.8017578125
Model_4,38,0.9282923936843872,0.826171875
Model_4,39,0.935546875,0.818359375
Model_4,40,0.9464285969734192,0.8134765625
Model_4,41,0.9294084906578064,0.833984375
Model_4,42,0.94921875,0.828125
Model_4,43,0.9536830186843872,0.8486328125
Model_4,44,0.9598214030265808,0.8447265625
Model_4,45,0.9603794813156128,0.8310546875
Model_5,1,0.6060267686843872,0.64453125
Model_5,2,0.6640625,0.666015625
Model_5,3,0.6752232313156128,0.6865234375
Model_5,4,0.6858258843421936,0.677734375
Model_5,5,0.6877790093421936,0.677734375
Model_5,6,0.7017298936843872,0.685546875
Model_5,7,0.6941964030265808,0.6865234375
Model_5,8,0.7036830186843872,0.6875
Model_5,9,0.7095423936843872,0.69140625
Model_5,10,0.7061942219734192,0.6943359375
Model_5,11,0.7078682780265808,0.697265625
Model_5,12,0.7201451063156128,0.72265625
Model_5,13,0.7299107313156128,0.701171875
Model_5,14,0.7430245280265808,0.73828125
Model_5,15,0.7458147406578064,0.740234375
Model_5,16,0.7650669813156128,0.7431640625
Model_5,17,0.7790178656578064,0.76171875
Model_5,18,0.7873883843421936,0.779296875
Model_5,19,0.7993861436843872,0.7685546875
Model_5,20,0.8225446343421936,0.7861328125
Model_5,21,0.8267298936843872,0.78125
Model_5,22,0.8337053656578064,0.78515625
Model_5,23,0.8392857313156128,0.787109375
Model_5,24,0.859375,0.7802734375
Model_5,25,0.8643973469734192,0.80078125
Model_5,26,0.8479352593421936,0.771484375
Model_5,27,0.86328125,0.8056640625
Model_5,28,0.8853236436843872,0.822265625
Model_5,29,0.8962053656578064,0.826171875
Model_5,30,0.9026227593421936,0.818359375
Model_5,31,0.9137834906578064,0.818359375
Model_5,32,0.9171317219734192,0.8173828125
Model_5,33,0.9196428656578064,0.8388671875
Model_5,34,0.9313616156578064,0.828125
Model_5,35,0.9388951063156128,0.83203125
Model_5,36,0.94140625,0.83984375
Model_5,37,0.9503348469734192,0.849609375
