mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,fit_time
512.6477888107299,17.55801246961792,0.027159595489501955,0.0035661689870565977,0.1,l1,liblinear,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.6865853658536586,0.6939024390243902,0.6731707317073171,0.7134146341463414,0.6731707317073171,0.6880487804878049,0.014983631759422083,6,512.6749484062194
2042.7848384857177,546.668145029227,0.012043237686157227,0.003202960546586133,0.1,l1,saga,"{'C': 0.1, 'penalty': 'l1', 'solver': 'saga'}",0.697560975609756,0.7012195121951219,0.6804878048780488,0.7073170731707317,0.6646341463414634,0.6902439024390243,0.015598318980799457,3,2042.7968817234039
97.17121396064758,7.428101035935587,0.03441739082336426,0.010558122674812825,0.1,l2,liblinear,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.6719512195121952,0.6792682926829269,0.6780487804878049,0.6841463414634147,0.6634146341463415,0.6753658536585366,0.007127628876196327,16,97.20563135147094
1092.1735728263855,274.9421223978418,0.012307405471801758,0.0024803309138025685,0.1,l2,saga,"{'C': 0.1, 'penalty': 'l2', 'solver': 'saga'}",0.7012195121951219,0.6963414634146341,0.6792682926829269,0.7036585365853658,0.6597560975609756,0.6880487804878048,0.01651347402908363,7,1092.1858802318573
518.7833370685578,25.252133044509897,0.031510019302368165,0.005641835279410393,1,l1,liblinear,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.6902439024390243,0.6963414634146341,0.6890243902439024,0.6926829268292682,0.675609756097561,0.688780487804878,0.007043672721070039,4,518.8148470878601
1947.4764585971832,456.9874489670469,0.009490251541137695,0.003222613357371163,1,l1,saga,"{'C': 1, 'penalty': 'l1', 'solver': 'saga'}",0.7012195121951219,0.6963414634146341,0.6792682926829269,0.7036585365853658,0.6597560975609756,0.6880487804878048,0.01651347402908363,7,1947.4859488487243
63.59532322883606,9.228026088987859,0.01964573860168457,0.004296648023814635,1,l2,liblinear,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.675609756097561,0.6829268292682927,0.6780487804878049,0.6865853658536586,0.6646341463414634,0.677560975609756,0.007501734877673031,13,63.61496896743774
1093.0317563533783,283.9581599964989,0.00639033317565918,0.001366045459358039,1,l2,saga,"{'C': 1, 'penalty': 'l2', 'solver': 'saga'}",0.7012195121951219,0.6963414634146341,0.6792682926829269,0.7036585365853658,0.6597560975609756,0.6880487804878048,0.01651347402908363,7,1093.038146686554
380.74002833366393,25.666422486586686,0.020798158645629884,0.002605421936653024,10,l1,liblinear,"{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}",0.698780487804878,0.6914634146341463,0.6939024390243902,0.6902439024390243,0.6829268292682927,0.6914634146341464,0.00517395205746251,2,380.76082649230955
1821.4146274566651,326.6039196341482,0.006003522872924804,0.0008379217160172902,10,l1,saga,"{'C': 10, 'penalty': 'l1', 'solver': 'saga'}",0.7012195121951219,0.6963414634146341,0.6792682926829269,0.7036585365853658,0.6597560975609756,0.6880487804878048,0.01651347402908363,7,1821.4206309795381
46.027076148986815,7.042021470096151,0.019804000854492188,0.003306572773260309,10,l2,liblinear,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}",0.675609756097561,0.6792682926829269,0.6719512195121952,0.6865853658536586,0.6658536585365854,0.6758536585365854,0.006958703715944936,15,46.04688014984131
1048.6691002845764,223.1712112971132,0.005906057357788086,0.0010699217964753932,10,l2,saga,"{'C': 10, 'penalty': 'l2', 'solver': 'saga'}",0.7012195121951219,0.6963414634146341,0.6804878048780488,0.7036585365853658,0.6597560975609756,0.6882926829268292,0.016390534259913568,5,1048.6750063419342
386.92070174217224,24.124407716414233,0.019903564453125,0.002195726368144625,100,l1,liblinear,"{'C': 100, 'penalty': 'l1', 'solver': 'liblinear'}",0.7,0.6951219512195121,0.6902439024390243,0.6914634146341463,0.6841463414634147,0.6921951219512195,0.00526513003534702,1,386.94060530662534
1465.3687569141389,273.5256928397968,0.005118560791015625,0.0013957917918209029,100,l1,saga,"{'C': 100, 'penalty': 'l1', 'solver': 'saga'}",0.7012195121951219,0.6963414634146341,0.6792682926829269,0.7036585365853658,0.6597560975609756,0.6880487804878048,0.01651347402908363,7,1465.37387547493
47.40837645530701,2.7179541943129997,0.02010068893432617,0.004424256798035475,100,l2,liblinear,"{'C': 100, 'penalty': 'l2', 'solver': 'liblinear'}",0.676829268292683,0.6817073170731708,0.675609756097561,0.6865853658536586,0.6646341463414634,0.6770731707317073,0.007333315306523376,14,47.428477144241334
831.6201634407043,149.87251541634296,0.0054035186767578125,0.0008629852980419842,100,l2,saga,"{'C': 100, 'penalty': 'l2', 'solver': 'saga'}",0.7012195121951219,0.6963414634146341,0.6792682926829269,0.7036585365853658,0.6597560975609756,0.6880487804878048,0.01651347402908363,7,831.6255669593811
